Ano;Taxa_100k;Etnia;Indicador 
2014;1.870487449;Indiginea;Internacao
2015;7.4298345;Indiginea;Internacao
2016;6.489834138;Indiginea;Internacao
2017;2.792334112;Indiginea;Internacao
2018;6.520179957;Indiginea;Internacao
2019;4.678318799;Indiginea;Internacao
2020;0;Indiginea;Internacao
2021;4.524214241;Indiginea;Internacao
2022;3.957052787;Indiginea;Internacao
2023;4.074868925;Indiginea;Internacao
