Etnia,Indicador,Escala,Modelo,Modelo_escolhido,RMSE,AIC,BIC,DW_p,LB_p
Preta,Internacao,Log,OLS+NW,OLS,0.250280686581422,10.675325772043598,12.188251237013828,0.17220865677089298,0.1825122035783382
Preta,Internacao,Log,GLS AR(1),OLS,0.2503380080195106,12.518849035780864,14.334359593745141,NA,0.181083883175436
Preta,Obito,Linear,OLS+NW,OLS,0.07751287169080967,-12.767454737518868,-11.254529272548638,0.1986239895255041,0.5509706780712104
Preta,Obito,Linear,GLS AR(1),OLS,0.08068261692267945,-12.110828030931188,-10.295317472966913,NA,0.5466794875334475
Preta,Obito,Log,OLS+NW,GLS,1.6702378955992334,48.638092038851596,50.151017503821826,0.04514350889544402,0.7811347567544441
Preta,Obito,Log,GLS AR(1),GLS,1.6798565036074233,50.471188541501974,52.28669909946625,NA,0.7675153040456497
Total,Casos,Linear,OLS+NW,OLS,0.27945194684981917,12.880272132673433,14.393197597643663,0.4036141091022913,0.667797420235702
Total,Casos,Linear,GLS AR(1),OLS,0.28023865986592983,13.760450376478122,15.575960934442397,NA,0.6015132356787704
Total,Casos,Log,OLS+NW,OLS,0.03621862535509441,-27.984864933805596,-26.471939468835366,0.4895905225969384,0.4614608374236979
Total,Casos,Log,GLS AR(1),OLS,0.036483142914348496,-27.961763233784083,-26.14625267581981,NA,0.32503634295026795
Total,Internacao,Linear,OLS+NW,GLS,0.3312404475650083,16.2805558713512,17.79348133632143,0.6543014723128336,0.14937503985065415
Total,Internacao,Linear,GLS AR(1),GLS,0.34691925788886724,12.045723406163813,13.861233964128086,NA,0.07371827797838437
Total,Internacao,Log,OLS+NW,GLS,0.13331127342480797,-1.9225990067955951,-0.40967354182536475,0.49523015977519746,0.0447898448843308
Total,Internacao,Log,GLS AR(1),GLS,0.13943565052535606,-4.4512515361228004,-2.635740978158525,NA,0.010353317453384414
Total,Obito,Linear,OLS+NW,GLS,0.03776884004272461,-27.14664641197939,-25.63372094700916,0.37508992392957513,0.25657980335079444
Total,Obito,Linear,GLS AR(1),GLS,0.039392842346922106,-29.37695140416068,-27.561440846196405,NA,0.13825302151987384
Total,Obito,Log,OLS+NW,GLS,0.33865700622524647,16.723421367211127,18.236346832181358,0.6065796280927525,0.5757166394949852
Total,Obito,Log,GLS AR(1),GLS,0.35589993010197274,9.708992826888787,11.524503384853062,NA,0.4658501365242125
